# freq (Hz)      weight
1000000000       1.0
1007874016       1.0
1015748031       1.0
1023622047       1.0
1031496063       1.0
1039370079       1.0
1047244094       1.0
1055118110       1.0
1062992126       1.0
1070866142       1.0
1078740157       1.0
1086614173       1.0
1094488189       1.0
1102362205       1.0
1110236220       1.0
1118110236       1.0
1125984252       1.0
1133858268       1.0
1141732283       1.0
1149606299       1.0
1157480315       1.0
1165354331       1.0
1173228346       1.0
1181102362       1.0
1188976378       1.0
1196850394       1.0
1204724409       1.0
1212598425       1.0
1220472441       1.0
1228346457       1.0
1236220472       1.0
1244094488       1.0
1251968504       1.0
1259842520       1.0
1267716535       1.0
1275590551       1.0
1283464567       1.0
1291338583       1.0
1299212598       1.0
1307086614       1.0
1314960630       1.0
1322834646       1.0
1330708661       1.0
1338582677       1.0
1346456693       1.0
1354330709       1.0
1362204724       1.0
1370078740       1.0
1377952756       1.0
1385826772       1.0
1393700787       1.0
1401574803       1.0
1409448819       1.0
1417322835       1.0
1425196850       1.0
1433070866       1.0
1440944882       1.0
1448818898       1.0
1456692913       1.0
1464566929       1.0
1472440945       1.0
1480314961       1.0
1488188976       1.0
1496062992       1.0
1503937008       1.0
1511811024       1.0
1519685039       1.0
1527559055       1.0
1535433071       1.0
1543307087       1.0
1551181102       1.0
1559055118       1.0
1566929134       1.0
1574803150       1.0
1582677165       1.0
1590551181       1.0
1598425197       1.0
1606299213       1.0
1614173228       1.0
1622047244       1.0
1629921260       1.0
1637795276       1.0
1645669291       1.0
1653543307       1.0
1661417323       1.0
1669291339       1.0
1677165354       1.0
1685039370       1.0
1692913386       1.0
1700787402       1.0
1708661417       1.0
1716535433       1.0
1724409449       1.0
1732283465       1.0
1740157480       1.0
1748031496       1.0
1755905512       1.0
1763779528       1.0
1771653543       1.0
1779527559       1.0
1787401575       1.0
1795275591       1.0
1803149606       1.0
1811023622       1.0
1818897638       1.0
1826771654       1.0
1834645669       1.0
1842519685       1.0
1850393701       1.0
1858267717       1.0
1866141732       1.0
1874015748       1.0
1881889764       1.0
1889763780       1.0
1897637795       1.0
1905511811       1.0
1913385827       1.0
1921259843       1.0
1929133858       1.0
1937007874       1.0
1944881890       1.0
1952755906       1.0
1960629921       1.0
1968503937       1.0
1976377953       1.0
1984251969       1.0
1992125984       1.0
2000000000       1.0
